reporter_iso3,partner_iso3,product_group,year,indicator,value,unit,source_url,retrieved_utc
chn,deu,84-85_MachElec,2018,MPRT-TRD-VL,36807303.654,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/chn/year/2018/partner/all/product/84-85_MachElec/indicator/MPRT-TRD-VL,2026-09-01T09:38:00Z
chn,tha,84-85_MachElec,2018,MPRT-TRD-VL,17726774.402,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/chn/year/2018/partner/all/product/84-85_MachElec/indicator/MPRT-TRD-VL,2026-09-01T09:38:00Z
chn,idn,84-85_MachElec,2018,MPRT-TRD-VL,1857439.395,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/chn/year/2018/partner/all/product/84-85_MachElec/indicator/MPRT-TRD-VL,2026-09-01T09:38:00Z
chn,mys,84-85_MachElec,2018,MPRT-TRD-VL,37756540.16,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/chn/year/2018/partner/all/product/84-85_MachElec/indicator/MPRT-TRD-VL,2026-09-01T09:38:00Z
chn,bra,84-85_MachElec,2018,MPRT-TRD-VL,250225.055,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/chn/year/2018/partner/all/product/84-85_MachElec/indicator/MPRT-TRD-VL,2026-09-01T09:38:00Z
chn,can,84-85_MachElec,2018,MPRT-TRD-VL,1485367.355,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/chn/year/2018/partner/all/product/84-85_MachElec/indicator/MPRT-TRD-VL,2026-09-01T09:38:00Z
chn,sgp,84-85_MachElec,2018,MPRT-TRD-VL,13376524.142,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/chn/year/2018/partner/all/product/84-85_MachElec/indicator/MPRT-TRD-VL,2026-09-01T09:38:00Z
chn,che,84-85_MachElec,2018,MPRT-TRD-VL,3490969.483,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/chn/year/2018/partner/all/product/84-85_MachElec/indicator/MPRT-TRD-VL,2026-09-01T09:38:00Z
chn,gbr,84-85_MachElec,2018,MPRT-TRD-VL,3340201.961,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/chn/year/2018/partner/all/product/84-85_MachElec/indicator/MPRT-TRD-VL,2026-09-01T09:38:00Z
chn,phl,84-85_MachElec,2018,MPRT-TRD-VL,15251883.009,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/chn/year/2018/partner/all/product/84-85_MachElec/indicator/MPRT-TRD-VL,2026-09-01T09:38:00Z
chn,wld,84-85_MachElec,2018,MPRT-TRD-VL,712409176.914,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/chn/year/2018/partner/all/product/84-85_MachElec/indicator/MPRT-TRD-VL,2026-09-01T09:38:00Z
chn,usa,28-38_Chemicals,2018,MPRT-TRD-VL,17292260.066,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/chn/year/2018/partner/all/product/28-38_Chemicals/indicator/MPRT-TRD-VL,2026-09-01T09:45:00Z
chn,ind,28-38_Chemicals,2018,MPRT-TRD-VL,3586904.233,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/chn/year/2018/partner/all/product/28-38_Chemicals/indicator/MPRT-TRD-VL,2026-09-01T09:45:00Z
chn,vnm,28-38_Chemicals,2018,MPRT-TRD-VL,571602.358,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/chn/year/2018/partner/all/product/28-38_Chemicals/indicator/MPRT-TRD-VL,2026-09-01T09:45:00Z
chn,mex,28-38_Chemicals,2018,MPRT-TRD-VL,,,,NOT_RETURNED_BY_API
chn,jpn,28-38_Chemicals,2018,MPRT-TRD-VL,20241353.692,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/chn/year/2018/partner/all/product/28-38_Chemicals/indicator/MPRT-TRD-VL,2026-09-01T09:45:00Z
chn,kor,28-38_Chemicals,2018,MPRT-TRD-VL,22750231.85,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/chn/year/2018/partner/all/product/28-38_Chemicals/indicator/MPRT-TRD-VL,2026-09-01T09:45:00Z
chn,deu,28-38_Chemicals,2018,MPRT-TRD-VL,13273000.163,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/chn/year/2018/partner/all/product/28-38_Chemicals/indicator/MPRT-TRD-VL,2026-09-01T09:45:00Z
